#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
107346,326.12503938,41.59736227,49.27,11.503,9.871,1.43,0.076,0.028
107457,326.46846152,70.34786556,26.33,8.883,8.079,0.59,0.011,0.009
107712,327.29742875,41.22336615,14.05,8.649,8.117,0.96,0.009,0.008
107822,327.65515806,49.43782575,29.31,8.775,7.885,0.66,0.011,0.009
107893,327.90522385,65.75276063,12.55,6.769,6.469,0.84,0.029,0.033
107920,327.97112044,42.3446213,33.93,8.813,7.916,1.41,0.009,0.007
107958,328.08054635,39.80171233,24.95,9.161,8.325,1.05,0.011,0.009
108092,328.49458666,41.77989728,43.07,12.045,10.477,1.55,0.129,0.049
108110,328.55900174,66.73147224,25.6,11.188,9.987,1.16,0.066,0.036
108147,328.65286558,47.15519268,14.13,7.876,7.504,0.69,0.007,0.009
108154,328.68115348,38.23564053,17.72,10.125,9.351,1.22,0.017,0.014
108170,328.730685,61.9882667,14.88,10.809,9.843,0.99,0.048,0.032
108174,328.74830196,53.93539119,20.8,7.487,6.97,0.58,0.006,0.006
108391,329.38585366,43.49149077,31.68,12.41,10.751,1.85,0.201,0.068
108394,329.40423745,50.84550642,12.79,9.566,8.921,0.86,0.024,0.022
108434,329.48384429,50.84549056,19.63,9.816,8.967,0.86,0.026,0.019
108466,329.59770801,73.53481636,16.04,13.04,11.216,1.41,0.409,0.132
108535,329.81293227,73.18028413,26.67,5.572,5.09,0.45,0.003,0.003
108536,329.81322245,46.0916657,15.32,10.395,9.507,1.14,0.03,0.022
108602,330.00949487,54.10761169,21.27,8.157,7.596,0.69,0.009,0.009
108709,330.31677015,38.56685453,18.06,10.207,9.247,1.36,0.023,0.017
108756,330.45553289,45.52043161,15.64,10.21,9.42,1.26,0.028,0.023
108774,330.52232491,44.34309517,29.79,8.802,8.022,0.9,0.009,0.008
108917,330.94650782,64.62775425,32.07,4.678,4.277,0.68,0.003,0.003
108921,330.95028001,55.84907528,14.52,8.468,7.858,0.69,0.01,0.008
109162,331.67632433,53.13147765,31.99,8.77,7.85,0.67,0.01,0.008
109237,331.95055047,37.61701479,24.99,10.625,9.608,2.26,0.037,0.025
109303,332.17025791,45.74213801,23.79,7.054,6.203,0.59,0.01,0.011
109310,332.19035056,39.42457295,19.22,9.185,8.499,1.14,0.009,0.008
109372,332.367674,46.92081483,12.61,8.505,7.965,0.87,0.009,0.008
109384,332.40405809,71.31454447,18.12,10.627,9.717,0.87,0.037,0.027
109403,332.46869753,52.5891018,23.88,10.707,9.735,1.09,0.052,0.034
109474,332.6620927,70.1325139,30.61,5.96,5.56,0.5,0.004,0.003
109479,332.6823909,71.12842883,23.7,8.24,7.557,0.55,0.008,0.007
109521,332.79073322,50.82328938,18.24,5.568,5.401,0.56,0.003,0.003
109567,332.93380908,49.93663111,12.63,8.751,7.827,0.7,0.011,0.008
109572,332.95214631,56.83904211,27.03,5.88,5.313,0.49,0.003,0.002
109745,333.45491277,45.44060328,13.0,5.546,5.528,0.54,0.003,0.003
109841,333.69890379,57.71068189,14.05,9.368,8.686,0.79,0.014,0.012
109857,333.75699582,57.04346522,38.86,4.527,4.215,0.54,0.002,0.002
109876,333.81450805,58.27545403,13.22,9.122,8.553,0.82,0.012,0.011
