#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
26452,84.41322115,68.73552905,13.14,10.202,9.654,1.55,0.023,0.022
26453,84.41504533,-28.62628562,16.8,7.725,7.293,0.82,0.008,0.009
26460,84.43601282,-28.68979391,23.54,5.844,5.332,0.62,0.003,0.003
26478,84.47354631,-39.80237305,14,8.896,8.312,0.81,0.011,0.01
26486,84.50399975,78.35918778,14.51,8.279,7.78,0.76,0.009,0.007
26488,84.50745443,-42.9641515,16.42,8.162,7.504,0.66,0.009,0.007
26501,84.53956879,-46.10490664,39.59,8.393,7.58,0.94,0.014,0.014
26505,84.55156564,51.44548289,48.72,8.773,7.819,1,0.016,0.012
26534,84.6575085,-16.9190388,17.88,8.325,7.659,0.98,0.009,0.008
26542,84.66846091,-38.3568665,34.45,10.913,9.686,1.07,0.043,0.024
26544,84.67357853,32.47510928,14.63,8.532,8.01,0.95,0.013,0.012
26553,84.6947455,-52.48903491,14.76,9.411,8.752,0.72,0.015,0.013
26556,84.70223325,55.74791937,16.22,8.464,7.95,0.8,0.009,0.008
26563,84.72121589,-7.21270844,21.24,4.956,4.8,2.05,0.002,0.003
26587,84.77247542,56.36036185,16.64,7.513,7.078,0.79,0.005,0.005
26592,84.7863353,41.358853,13.05,7.718,6.552,0.89,0.008,0.005
26610,84.85089447,-25.24323339,14.4,8.416,7.837,0.91,0.007,0.007
26614,84.85938789,-22.83802439,22.71,11.669,10.223,1.87,0.067,0.029
26624,84.87980519,-3.56470944,24.16,6.323,6.015,0.73,0.003,0.003
26641,84.93428002,-5.05144223,20.28,9.685,8.982,1.25,0.02,0.017
26651,84.96456571,24.22536781,18.64,7.565,7.186,0.99,0.01,0.01
26653,84.96816107,52.89783269,35.91,8.796,7.923,1.12,0.013,0.01
26664,85.00707298,6.06117663,23.32,9.744,8.736,1.31,0.026,0.019
26681,85.05524857,-15.05061946,12.77,9.539,8.853,1.3,0.02,0.018
26688,85.07296536,-19.22668007,20.61,8.195,7.753,0.89,0.008,0.007
26689,85.07329557,16.39321489,17.82,7.94,7.418,1.08,0.014,0.014
26710,85.14609065,55.09938282,12.68,8.586,8.136,1,0.008,0.008
