#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
2789,8.88881583,-54.82174811,12.88,7.329,6.166,0.65,0.005,0.003
2790,8.89236491,-39.7458899,34.3,8.346,7.541,0.89,0.01,0.007
2797,8.90829835,79.25914588,20.78,10.246,9.353,0.93,0.029,0.021
2802,8.92139531,-48.00066027,27.61,6.04,5.564,0.77,0.002,0.002
2805,8.92763125,-8.20966183,13.43,9.208,8.59,1.26,0.02,0.018
2824,8.96750287,29.23785059,21.23,9.175,8.472,1.17,0.024,0.021
2829,8.97133007,21.32763787,12.99,9.01,8.471,1.01,0.017,0.016
2832,8.97867189,13.20750244,26.59,6.923,6.379,0.85,0.004,0.005
2841,9.00332958,-59.71719483,16.71,7.34,6.947,0.63,0.005,0.005
2843,9.0071737,-5.57045671,21.19,7.269,6.772,0.92,0.006,0.008
2844,9.00932703,29.99400304,18.93,8.71,7.958,1.7,0.021,0.017
2847,9.0151309,7.15600861,19.45,8.404,7.822,0.96,0.012,0.011
2848,9.01693123,-49.12780855,23.21,9.343,8.476,1.15,0.01,0.008
2852,9.02876061,-22.84221094,20.12,6.408,6.093,0.91,0.004,0.004
2853,9.03140187,-20.75859012,14.56,8.411,7.928,1.06,0.01,0.009
2883,9.13663377,-58.31469749,16.64,11.437,10.239,1.46,0.074,0.041
2888,9.15680392,-49.13200111,22.79,7.553,6.861,0.73,0.004,0.003
2894,9.18049134,48.82833163,18.03,9.43,8.727,1.23,0.017,0.015
2902,9.1950775,-24.50078757,13.78,8.958,8.008,1.06,0.013,0.01
2909,9.2135524,-24.49605646,15.34,8.935,8.226,1.1,0.013,0.011
2927,9.28405614,15.13999011,16.59,8.806,8.154,0.89,0.013,0.011
2941,9.33244613,-24.76722545,64.38,6.489,5.677,1.4,0.004,0.004
2944,9.34217573,-37.28798048,22.29,7.88,7.078,0.84,0.008,0.005
2979,9.48155869,-44.85250022,13.01,10.11,9.446,1.37,0.021,0.019
2981,9.48706616,47.40791719,20.92,8.089,7.597,0.97,0.007,0.007
3000,9.53334289,4.39681268,14.78,10.386,9.596,1.55,0.032,0.026
3006,9.56130273,84.67502086,24.8,7.764,7.187,0.6,0.009,0.007
3008,9.56400804,52.33242473,43.4,12.018,10.681,1.94,0.133,0.061
3010,9.5752004,-73.96249617,16.35,7.993,7.489,0.66,0.009,0.007
3022,9.62100473,43.00013144,19.86,10.894,10.005,1.86,0.045,0.032
3028,9.63821988,-12.17262517,24.02,10.247,9.268,1.22,0.034,0.022
3031,9.63958024,29.312369,19.34,5.439,4.447,0.76,0.003,0.003
3033,9.64337184,6.02198658,14.61,9.456,8.808,1.04,0.023,0.021
3035,9.65067436,-23.59913798,16.01,7.597,7.157,0.94,0.007,0.006
3053,9.69033976,-85.41237038,26.42,8.697,7.826,0.61,0.01,0.008
3054,9.69844701,31.01929218,16.48,9.779,9.097,1.19,0.043,0.039
3055,9.70063519,0.9465132,12.73,9.627,8.858,1.18,0.025,0.02
3084,9.79683421,-57.96778762,12.5,7.345,6.856,0.66,0.005,0.005
3086,9.80336453,3.13320203,21.79,8.112,7.419,0.88,0.008,0.006
3092,9.83165567,30.86122579,32.19,4.945,3.419,0.68,0.003,0.003
3097,9.85771167,74.7499202,15.82,10.092,9.308,0.96,0.029,0.024
3101,9.86776727,26.73691109,14.72,9.533,8.89,1.07,0.022,0.02
3115,9.9093168,-3.08305962,13.27,8.482,7.934,1.09,0.013,0.014
